shift =  0, a = 0000000000000001, b = 0000000000000001
shift =  1, a = 0000000000000002, b = 0000000000000002
shift =  2, a = 0000000000000004, b = 0000000000000004
shift =  3, a = 0000000000000008, b = 0000000000000008
shift =  4, a = 0000000000000010, b = 0000000000000010
shift =  5, a = 0000000000000020, b = 0000000000000020
shift =  6, a = 0000000000000040, b = 0000000000000040
shift =  7, a = 0000000000000080, b = 0000000000000080
shift =  8, a = 0000000000000100, b = 0000000000000100
shift =  9, a = 0000000000000200, b = 0000000000000200
shift = 10, a = 0000000000000400, b = 0000000000000400
shift = 11, a = 0000000000000800, b = 0000000000000800
shift = 12, a = 0000000000001000, b = 0000000000001000
shift = 13, a = 0000000000002000, b = 0000000000002000
shift = 14, a = 0000000000004000, b = 0000000000004000
shift = 15, a = 0000000000008000, b = 0000000000008000
shift = 16, a = 0000000000010000, b = 0000000000010000
shift = 17, a = 0000000000020000, b = 0000000000020000
shift = 18, a = 0000000000040000, b = 0000000000040000
shift = 19, a = 0000000000080000, b = 0000000000080000
shift = 20, a = 0000000000100000, b = 0000000000100000
shift = 21, a = 0000000000200000, b = 0000000000200000
shift = 22, a = 0000000000400000, b = 0000000000400000
shift = 23, a = 0000000000800000, b = 0000000000800000
shift = 24, a = 0000000001000000, b = 0000000001000000
shift = 25, a = 0000000002000000, b = 0000000002000000
shift = 26, a = 0000000004000000, b = 0000000004000000
shift = 27, a = 0000000008000000, b = 0000000008000000
shift = 28, a = 0000000010000000, b = 0000000010000000
shift = 29, a = 0000000020000000, b = 0000000020000000
shift = 30, a = 0000000040000000, b = 0000000040000000
shift = 31, a = 0000000080000000, b = ffffffff80000000
shift = 32, a = 0000000100000000, b = 0000000000000001
shift = 33, a = 0000000200000000, b = 0000000000000002
shift = 34, a = 0000000400000000, b = 0000000000000004
shift = 35, a = 0000000800000000, b = 0000000000000008
shift = 36, a = 0000001000000000, b = 0000000000000010
shift = 37, a = 0000002000000000, b = 0000000000000020
shift = 38, a = 0000004000000000, b = 0000000000000040
shift = 39, a = 0000008000000000, b = 0000000000000080
shift = 40, a = 0000010000000000, b = 0000000000000100
shift = 41, a = 0000020000000000, b = 0000000000000200
shift = 42, a = 0000040000000000, b = 0000000000000400
shift = 43, a = 0000080000000000, b = 0000000000000800
shift = 44, a = 0000100000000000, b = 0000000000001000
shift = 45, a = 0000200000000000, b = 0000000000002000
shift = 46, a = 0000400000000000, b = 0000000000004000
shift = 47, a = 0000800000000000, b = 0000000000008000
shift = 48, a = 0001000000000000, b = 0000000000010000
shift = 49, a = 0002000000000000, b = 0000000000020000
shift = 50, a = 0004000000000000, b = 0000000000040000
shift = 51, a = 0008000000000000, b = 0000000000080000
shift = 52, a = 0010000000000000, b = 0000000000100000
shift = 53, a = 0020000000000000, b = 0000000000200000
shift = 54, a = 0040000000000000, b = 0000000000400000
shift = 55, a = 0080000000000000, b = 0000000000800000
shift = 56, a = 0100000000000000, b = 0000000001000000
shift = 57, a = 0200000000000000, b = 0000000002000000
shift = 58, a = 0400000000000000, b = 0000000004000000
shift = 59, a = 0800000000000000, b = 0000000008000000
shift = 60, a = 1000000000000000, b = 0000000010000000
shift = 61, a = 2000000000000000, b = 0000000020000000
shift = 62, a = 4000000000000000, b = 0000000040000000
shift = 63, a = 8000000000000000, b = ffffffff80000000
shift = 64, a = 0000000000000001, b = 0000000000000001
